dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines,city,state,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,water_ert_min_time,water_ert_max_time,water_data_availability,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,egauge_1s_min_time,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,energy_storage_system,energy_storage_system_l1,energy_storage_system_l2
1790,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Control,,,Austin,Texas,yes,South;West,6.37,3.43,2.94,,2011-02-01,2017-02-21,2008,3025.0,1475.0,1550.0,0.0,,,yes,"",yes,yes,yes,"","","",,,,,2012-04-11 18:59:20-05,2017-02-20 23:47:39-06,76%,,,,2014-05-02 00:00:00-05,2017-02-20 23:59:00-06,100%,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
3577,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,,,,,,,2011-02-01,2017-08-15,2008,2125.0,1150.0,950.0,0.0,,,yes,"",yes,"",yes,"","","",,,,,2012-04-11 18:59:13-05,2017-08-14 20:26:24-05,74%,,,,2014-05-30 00:00:00-05,2017-06-29 05:59:00-05,100%,,,,yes,,,,,yes,,,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,,,,,,yes,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,,,,,yes,,,,,,,
8890,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Pricing Trial,,,Austin,Texas,yes,South;West,5.64,3.525,2.115,0.0,2011-02-01,2017-09-22,2008,2200.0,1425.0,775.0,0.0,0.0,0.0,yes,"",yes,"","","","","",,2014-09-30 09:52:00-05,2016-03-04 14:59:00-06,100%,2012-04-11 18:57:35-05,2017-09-21 23:39:04-05,86%,2012-05-01 13:00:00-05,2020-10-08 18:43:00-05,6%,2012-05-02 19:00:00-05,2016-03-04 02:59:00-06,100%,2015-01-01 00:00:00-06,2015-12-31 23:59:59-06,100%,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
6830,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,,,,,,,2011-02-01,2017-09-27,2008,2075.0,2075.0,0.0,0.0,,,yes,"",yes,"",yes,"","","",,,,,2012-04-11 18:59:53-05,2017-09-26 23:19:37-05,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Pricing Trial,,,Austin,Texas,yes,South,6.25,6.25,0.0,,2011-02-01,2017-10-17,2008,1450.0,1450.0,0.0,0.0,,,yes,"",yes,yes,"",yes,yes,"",,,,,2012-04-11 18:57:46-05,2017-10-15 11:59:12-05,77%,,,,2012-11-09 00:00:00-06,2017-10-10 06:36:00-05,96%,,,,yes,,,,,,,yes,yes,,,,,,,,yes,,,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,yes,yes,yes,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,
5785,,Single-Family Home 001 (Master),,yes,yes,,,CCET - UT Text,,,Austin,Texas,yes,South;West,6.37,1.96,4.41,,2011-02-01,2018-02-20,2007,1850.0,1375.0,475.0,0.0,,,yes,"",yes,"",yes,"","","",,2015-03-27 15:00:00-05,2015-04-02 06:59:00-05,94%,2012-04-11 18:59:44-05,2018-02-12 19:10:30-06,81%,2012-07-10 13:00:00-05,2015-10-28 23:52:00-05,16%,2012-05-02 19:00:00-05,2017-09-22 03:31:00-05,100%,2014-10-01 00:00:00-05,2017-09-22 08:06:01-05,99%,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
3544,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Control,,,Austin,Texas,yes,West,4.5,,4.5,,2011-02-01,2018-08-22,2008,1175.0,600.0,575.0,0.0,,,yes,"",yes,yes,"","","","",,,,,2012-04-13 07:43:12-05,2018-08-19 23:40:03.86474-05,64%,,,,2012-05-02 19:00:00-05,2015-03-31 09:59:00-05,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
1800,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Pricing Trial,,yes,Austin,Texas,yes,South;West,9.99,4.995,4.995,,2011-02-01,2019-01-22,2008,2075.0,2075.0,0.0,0.0,,,yes,"","",yes,yes,yes,"","",,,,,2012-04-11 18:59:23-05,2018-07-27 20:23:46.003458-05,68%,,,,2012-12-11 18:00:00-06,2018-12-26 04:59:00-06,100%,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,,,,,,,,,
5193,,Single-Family Home 001 (Master),,yes,yes,,,,,,Austin,Texas,,,,,,,2011-02-01,2019-03-08,2008,2000.0,1425.0,575.0,0.0,,,yes,"","","","","","","",,,,,2012-04-11 18:58:45-05,2019-03-06 17:59:11.53315-06,72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Text Message,,,Austin,Texas,yes,South,6.37,6.37,0.0,0.0,2011-02-01,2019-04-25,2010,2725.0,1525.0,1200.0,0.0,,,yes,"",yes,"","",yes,"","",,,,,2012-04-12 18:45:53-05,2019-04-22 18:55:38.857628-05,83%,2016-01-17 08:06:00-06,2019-04-02 14:44:00-05,0%,2012-05-02 19:00:00-05,2019-03-14 02:53:00-05,98%,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,yes,,,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
2638,,Town Home,,yes,yes,,,CCET - UT Text,,,Austin,Texas,yes,South,4.655,4.655,0.0,,2011-02-01,2019-05-22,2008,1975.0,1025.0,950.0,0.0,0.0,0.0,yes,"",yes,yes,"",yes,yes,yes,,,,,2012-04-12 09:52:15-05,2019-05-19 18:47:14.831597-05,76%,2015-08-20 14:11:15.844351-05,2019-04-04 23:59:00-05,98%,2012-05-11 07:57:00-05,2019-05-19 15:59:00-05,88%,2019-03-01 18:00:00-06,2019-05-19 15:00:00-05,100%,yes,,,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
2337,,Single-Family Home 001 (Master),,yes,yes,,,CCET - Portal Only,,,Austin,Texas,yes,South,4.995,4.995,0.0,,2011-02-01,2019-06-07,2008,1450.0,1450.0,0.0,0.0,,,yes,"",yes,"","","",yes,yes,,,,,2012-04-11 18:51:27-05,2017-01-08 10:23:48-06,34%,,,,2012-05-11 19:00:00-05,2019-06-20 09:59:00-05,100%,2019-03-03 07:48:00-06,2019-06-20 09:00:00-05,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,
